ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-16,385127.87844637304,24383.139516933075,84810.87103745261,385127.87844637304,385127.87844637304,-331430.30145953444,-331430.30145953444,-331430.30145953444,5209.846597705395,5209.846597705395,5209.846597705395,-336640.1480572398,-336640.1480572398,-336640.1480572398,0.0,0.0,0.0,53697.5769868386
2025-10-17,387971.711759622,21720.7846767655,81076.88978253183,387971.711759622,387971.711759622,-335662.64320262236,-335662.64320262236,-335662.64320262236,5986.024263477875,5986.024263477875,5986.024263477875,-341648.66746610025,-341648.66746610025,-341648.66746610025,0.0,0.0,0.0,52309.06855699961
2025-10-18,390815.54507298575,13382.14187105532,70769.14387600723,390815.54507298575,390815.54507298575,-350102.6378412969,-350102.6378412969,-350102.6378412969,-3319.001148815241,-3319.001148815241,-3319.001148815241,-346783.63669248164,-346783.63669248164,-346783.63669248164,0.0,0.0,0.0,40712.90723168885
2025-10-19,393659.3783863497,1988.480035955942,62437.54658189266,393659.3783863497,393659.3783863497,-361870.07516188273,-361870.07516188273,-361870.07516188273,-9943.521402413651,-9943.521402413651,-9943.521402413651,-351926.55375946907,-351926.55375946907,-351926.55375946907,0.0,0.0,0.0,31789.303224466974
2025-10-20,396503.2116997136,8227.864287041586,68084.74489474308,396503.2116997136,396503.2116997136,-358069.938521775,-358069.938521775,-358069.938521775,-1107.725161756261,-1107.725161756261,-1107.725161756261,-356962.2133600188,-356962.2133600188,-356962.2133600188,0.0,0.0,0.0,38433.273177938594
2025-10-21,399347.045013065,2349.2753381297325,61509.44379528358,399347.045013065,399347.045013065,-367613.4168608898,-367613.4168608898,-367613.4168608898,-5829.520929916842,-5829.520929916842,-5829.520929916842,-361783.895930973,-361783.895930973,-361783.895930973,0.0,0.0,0.0,31733.628152175166
2025-10-22,402190.8783264162,16233.560097094623,76117.8066423508,402190.8783264162,402190.8783264162,-357294.11546760047,-357294.11546760047,-357294.11546760047,9003.897781756554,9003.897781756554,9003.897781756554,-366298.013249357,-366298.013249357,-366298.013249357,0.0,0.0,0.0,44896.762858815724
2025-10-23,405034.7116397675,9678.068336487018,69569.40051505291,405034.7116397675,405034.7116397675,-365218.1733638719,-365218.1733638719,-365218.1733638719,5209.846597686689,5209.846597686689,5209.846597686689,-370428.01996155863,-370428.01996155863,-370428.01996155863,0.0,0.0,0.0,39816.53827589564
2025-10-24,407878.54495282273,9275.259350363554,68565.07564096311,407878.54495282273,407878.54495282273,-368131.4117945421,-368131.4117945421,-368131.4117945421,5986.024263464651,5986.024263464651,5986.024263464651,-374117.4360580068,-374117.4360580068,-374117.4360580068,0.0,0.0,0.0,39747.13315828063
2025-10-25,410722.37826587784,1746.2055288454458,58242.49888663516,410722.37826587784,410722.37826587784,-380650.8675227812,-380650.8675227812,-380650.8675227812,-3319.0011488468044,-3319.0011488468044,-3319.0011488468044,-377331.86637393443,-377331.86637393443,-377331.86637393443,0.0,0.0,0.0,30071.510743096645
